id,text,unit_tags,task_tags,means_tags,goal_tags,way_tags
181,Maßnahme momentan warten wir machen hier gerade Übergabe,O O O O O O O O,O O B O O O O O,O O O O O O O O,O O O O O O O O,O O O O O O O O
409,Der Trupp trennt die Dachholmen an Kraftfahrzeugen mit dem Schneidgerät,B I O O O O O O O O,O O B I I I I O O O,O O O O O O O B I I,O O O O O O O O O O,O O O O O O O O O O
432,Angrifftrupp zum Löschen mit dem C Rohr vor,B O O O O O O O,O B I O O O O O,O O O B I I I O,O O O O O O O O,O O O O O O O O
2508,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,O O B O O O O O O O O O O O O O O O O O O O O O,O O O O O O B I I I I I I O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O
377,Wassertrupp sperrt den Gefahrenbereich ab,B O O O O,O B I I I,O O O O O,O O O O O,O O O O O
412,Sie trennen die Metallteile mit dem Plasmaschneidgerät,B O O O O O O,O B I I O O O,O O O O B I I,O O O O O O O,O O O O O O O
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O O O O O O O O O,O O B I I I I I I I,O O O O O O O O O O,O O B I I I I I I O,O O O O O O O O O O
2558,Ja das ist verstanden bitte melden wenn durchgeführt,O O O O O O O O,O O O O O B I I,O O O O O O O O,O O O O O O O O,O O O O O O O O
1450,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild,O B O O O O O O O O O O O O O O,B I I I I I I I I O B I I I I I,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
812,schauen Sie mal im Umkreis ob dort Rettungskräfte sich bewegen kommen,O B O O O O O O O O O,B I I I I I I I I I O,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
491,UAV bitte eine Gesamtübersicht von dem zentralen Gebäude,B O O O O O O O,O O B I I I I I,O O O O O O O O,O O O O O O O O,O O O O O O O O
232,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,O O O B O O O O O O O O O,O O O O O B O B I I I I I,O O O O O O O O O O O O O,O O O O O O O O O B I I O,O O O O O O O O O O O O O
2063,Bitte mach mir mal ein Foto von deinem Standort kommen,O O O O O O O O O O,O B I I I I I I I O,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
437,D zwei fotografiert das Gebiet mit der Thermalkamera,B I O O O O O O,O O B I I O O O,O O O O O B I I,O O O O O O O O,O O O O O O O O
327,ja fahren Sie wieder zurück ins Untergeschoss,O O B O O O O,O B I I I O O,O O O O O O O,O O O O O B I,O O O O O O O
1705,dann müsst ihr euch von da aus in östlicher Richtung bewegen,O O B O O O O O O O O,O O O O B I I I I I I,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O B I I O
835,Auftrag lautet aus der Luft versuchen den Roboter 1 zu finden und dann abzufotografieren,O O O O O O O O O O O O O O,O O B I I I I I I I I I I I,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
562,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,O B O O O O O O O,B I I I I I I I I,O O B I I I O O O,O O O O O O O O O,O O O O O O O O O
314,kann man von oben vielleicht mir ein Foto schicken,O O O O O O O O O,B I I I I I I I I,O O O O O O O O O,O O O O O O O O O,O O B I O O O O O
417,Der Trupp ist zum Transporteren von Verletzten mit der Schaufeltrage vor,B I O O O O O O O O O,O O O B I I I O O O O,O O O O O O O B I I O,O O O O O O O O O O O,O O O O O O O O O O O
845,neuer Auftrag Personsuche aus der Luft mittels Wärmebildkamera kommen,O O O O O O O O O,O O B I I I O O O,O O O O O O B I O,O O O O O O O O O,O O O O O O O O O
1078,neuer Auftrag ist Akku tauschen damit die Drohne wieder fliegen kann,O O O O O O O O O O O,O O O B I O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
